jurisdiction,state_population,violent_crime_total,murder_manslaughter,rape_legacy,rape_revised,robbery,agg_assault,property_crime_total,burglary,larceny,vehicle_theft
ALABAMA,4468912,19582,379,1369,,5584,12250,173253,40642,119992,12619
ALASKA,633630,3735,39,501,,514,2681,23160,3847,16695,2618
ARIZONA,5306966,28675,400,1518,,8868,17889,293874,54821,186850,52203
ARKANSAS,2694698,12190,148,892,,2181,8969,99106,22196,69590,7320
CALIFORNIA,34600463,212867,2206,9960,,64614,136087,1134189,232273,697739,204177
COLORADO,4430989,15492,158,1930,,3555,9849,170887,28533,121360,20994
CONNECTICUT,3434602,11492,105,639,,4183,6565,95299,17159,65762,12378
DELAWARE,796599,4868,23,420,,1156,3269,27399,5144,19476,2779
FLORIDA,16373330,130713,874,6641,,32867,90331,782517,176052,516548,89917
GEORGIA,8405677,41671,598,2180,,14402,24491,347872,71799,238484,37589
HAWAII,1227024,3117,32,409,,1142,1534,62830,11162,44925,6743
IDAHO,1320585,3211,30,425,,245,2511,38181,7507,28285,2389
ILLINOIS,12520227,79270,982,4010,,24931,49347,434648,79158,306757,48733
INDIANA,6126743,22734,413,1716,,7171,13434,211548,42758,147291,21499
IOWA,2931967,7865,50,649,,1154,6012,88634,16885,66244,5505
KANSAS,2702125,10909,92,945,,2423,7449,105537,20514,77038,7985
KENTUCKY,4068816,10510,181,1051,,3269,6009,107356,26964,71448,8944
LOUISIANA,4470368,30678,501,1403,,7864,20910,207693,46451,139555,21687
MAINE,1284470,1435,19,326,,264,826,33154,6898,24585,1671
MARYLAND,5386079,42088,446,1449,,13525,26668,219512,41553,145934,32025
MASSACHUSETTS,6401164,30585,143,1856,,6476,22110,167079,32430,106821,27828
MICHIGAN,10006266,55424,672,5264,,12937,36551,352353,72038,226708,53607
MINNESOTA,4984535,13145,119,2236,,3758,7032,165046,25496,124519,15031
MISSISSIPPI,2859733,10006,282,1147,,3294,5283,109609,29821,70315,9473
MISSOURI,5637309,30472,372,1383,,7771,20946,238411,42977,167420,28014
MONTANA,905382,3187,34,188,,230,2735,30175,3670,24684,1821
NEBRASKA,1720039,5214,43,431,,1128,3612,68963,9760,52713,6490
NEVADA,2097722,12359,180,883,,4932,6364,77486,17711,45073,14702
NEW HAMPSHIRE,1259359,2144,17,458,,445,1224,27089,4889,20060,2140
NEW JERSEY,8511116,33094,336,1278,,14110,17370,240551,46812,156031,37708
NEW MEXICO,1830935,14288,99,850,,2695,10644,83095,19552,56406,7137
NEW YORK,19084350,98022,960,3546,,36555,56961,458003,80400,329316,48287
NORTH CAROLINA,8206105,40465,505,2083,,13304,24573,363777,101889,237241,24647
NORTH DAKOTA,636550,505,7,164,,60,274,14834,2165,11583,1086
OHIO,11389785,40023,452,4466,,17199,17906,435115,96910,295976,42229
OKLAHOMA,3469577,17726,185,1486,,2746,13309,141679,34573,94537,12569
OREGON,3473441,10650,84,1174,,2749,6643,164524,26648,123034,14842
PENNSYLVANIA,12303104,50432,651,3467,,17500,28814,313408,54345,223350,35713
RHODE ISLAND,1059659,3278,39,416,,986,1837,35742,6824,23875,5043
SOUTH CAROLINA,4062125,33114,330,1769,,5987,25028,186054,42611,126742,16701
SOUTH DAKOTA,758324,1171,7,351,,103,710,16473,3087,12571,815
TENNESSEE,5749398,42776,423,2196,,10219,29938,252992,59705,165015,28272
TEXAS,21370983,122155,1332,8169,,35348,77306,976654,204362,669625,102667
UTAH,2278712,5314,67,896,,1197,3154,90993,13804,70676,6513
VERMONT,612978,644,7,107,,107,423,16334,3150,12426,758
VIRGINIA,7196750,20939,364,1770,,6860,11945,207506,31604,157060,18842
